Team,full_name,first_name,last_name,Pos,Ht,Wt,Birth Date,Country,Exp,College,id,is_active,Season
CLE,Craig Porter,Craig,Porter,PG,6-2,186,"February 26, 2000",us,R,"Vincennes University, Wichita State",1641854,True,2024
MEM,Xavier Tillman,Xavier,Tillman,C,6-8,245,"January 12, 1999",us,2,Michigan State,1630214,True,2023
BOS,Xavier Tillman,Xavier,Tillman,PF,6-8,245,"January 12, 1999",us,3,Michigan State,1630214,True,2024
MEM,GG Jackson,GG,Jackson,PF,6-9,215,"December 17, 2004",us,R,South Carolina,1641713,True,2024
LAL,Harry Giles III,Harry,Giles III,C,6-11,240,"April 22, 1998",us,3,Duke,1628385,True,2024
POR,Kevin Knox II,Kevin,Knox II,PF,6-7,215,"August 11, 1999",us,4,Kentucky,1628995,True,2023
HOU,Jermaine Samuels Jr.,Jermaine,Samuels Jr.,SF,6-7,230,"November 13, 1998",us,R,Villanova,1631257,True,2024
CLE,Marcus Morris Sr.,Marcus,Morris Sr.,PF,6-8,218,"September 2, 1989",us,12,Kansas,202694,True,2024
POR,John Butler Jr.,John,Butler Jr.,C,7-0,175,"December 4, 2002",us,R,Florida State,1631219,True,2023
HOU,Reggie Bullock Jr.,Reggie,Bullock Jr.,SF,6-6,205,"March 16, 1991",us,10,UNC,203493,True,2024
POR,Robert Williams III,Robert,Williams III,C,6-9,237,"October 17, 1997",us,5,Texas A&M,1629057,True,2024
TOR,OG Anunoby,OG,Anunoby,SF,6-7,232,"July 17, 1997",gb,5,Indiana,1628384,True,2023
NYK,OG Anunoby,OG,Anunoby,SF,6-7,232,"July 17, 1997",gb,6,Indiana,1628384,True,2024
WAS,Bilal Coulibaly,Bilal,Coulibaly,SF,6-6,195,"July 26, 2004",fr,R,,1641731,True,2024
BRK,Moses Brown,Moses,Brown,C,7-2,245,"October 13, 1999",us,3,UCLA,1629650,True,2023
LAC,Moses Brown,Moses,Brown,C,7-2,245,"October 13, 1999",us,3,UCLA,1629650,True,2023
POR,Moses Brown,Moses,Brown,C,7-2,245,"October 13, 1999",us,4,UCLA,1629650,True,2024
SAS,Joshua Primo,Joshua,Primo,SG,6-6,190,"December 24, 2002",ca,1,Alabama,1630563,True,2023
BRK,Kevin Durant,Kevin,Durant,PF,6-11,240,"September 29, 1988",us,14,Texas,201142,True,2023
PHO,Kevin Durant,Kevin,Durant,PF,6-11,240,"September 29, 1988",us,14,Texas,201142,True,2023
PHO,Kevin Durant,Kevin,Durant,PF,6-11,240,"September 29, 1988",us,15,Texas,201142,True,2024
ORL,Moritz Wagner,Moritz,Wagner,C,6-11,245,"April 26, 1997",de,4,Michigan,1629021,True,2023
ORL,Moritz Wagner,Moritz,Wagner,C,6-11,245,"April 26, 1997",de,5,Michigan,1629021,True,2024
WAS,Kyle Kuzma,Kyle,Kuzma,PF,6-9,221,"July 24, 1995",us,5,Utah,1628398,True,2023
WAS,Kyle Kuzma,Kyle,Kuzma,PF,6-9,221,"July 24, 1995",us,6,Utah,1628398,True,2024
MIN,Kyle Anderson,Kyle,Anderson,PF,6-9,230,"September 20, 1993",us,8,UCLA,203937,True,2023
MIN,Kyle Anderson,Kyle,Anderson,PF,6-9,230,"September 20, 1993",us,9,UCLA,203937,True,2024
DEN,Hunter Tyson,Hunter,Tyson,PF,6-8,215,"June 13, 2000",us,R,Clemson,1641816,True,2024
LAL,Matt Ryan,Matt,Ryan,SF,6-6,215,"April 17, 1997",us,1,"Notre Dame, Vanderbilt, Chattanooga",1630346,True,2023
MIN,Matt Ryan,Matt,Ryan,SF,6-6,215,"April 17, 1997",us,1,"Notre Dame, Vanderbilt, Chattanooga",1630346,True,2023
NOP,Matt Ryan,Matt,Ryan,SF,6-6,215,"April 17, 1997",us,2,"Notre Dame, Vanderbilt, Chattanooga",1630346,True,2024
MEM,Vince Williams Jr.,Vince,Williams Jr.,SG,6-4,205,"August 30, 2000",us,R,VCU,1631246,True,2023
MEM,Vince Williams Jr.,Vince,Williams Jr.,SG,6-4,205,"August 30, 2000",us,1,VCU,1631246,True,2024
POR,Nassir Little,Nassir,Little,SF,6-5,220,"February 11, 2000",us,3,UNC,1629642,True,2023
PHO,Nassir Little,Nassir,Little,SF,6-5,220,"February 11, 2000",us,4,UNC,1629642,True,2024
MIA,Jaime Jaquez Jr.,Jaime,Jaquez Jr.,SF,6-6,225,"February 18, 2001",us,R,UCLA,1631170,True,2024
POR,Duop Reath,Duop,Reath,C,6-11,245,"June 26, 1996",ss,R,"Lee College, LSU",1641871,True,2024
IND,Oscar Tshiebwe,Oscar,Tshiebwe,PF,6-9,260,"November 27, 1999",cd,R,"West Virginia, Kentucky",1631131,True,2024
NOP,Zion Williamson,Zion,Williamson,PF,6-6,284,"July 6, 2000",us,2,Duke,1629627,True,2023
NOP,Zion Williamson,Zion,Williamson,PF,6-6,284,"July 6, 2000",us,3,Duke,1629627,True,2024
CHI,Lonzo Ball,Lonzo,Ball,PG,6-6,190,"October 27, 1997",us,5,UCLA,1628366,True,2024
OKC,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,PG,6-6,180,"July 12, 1998",ca,4,Kentucky,1628983,True,2023
OKC,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,PG,6-6,180,"July 12, 1998",ca,5,Kentucky,1628983,True,2024
ORL,Caleb Houstan,Caleb,Houstan,SF,6-8,205,"January 9, 2003",ca,R,Michigan,1631216,True,2023
ORL,Caleb Houstan,Caleb,Houstan,SF,6-8,205,"January 9, 2003",ca,1,Michigan,1631216,True,2024
SAC,Keegan Murray,Keegan,Murray,SF,6-8,215,"August 19, 2000",us,R,Iowa,1631099,True,2023
SAC,Keegan Murray,Keegan,Murray,SF,6-8,215,"August 19, 2000",us,1,Iowa,1631099,True,2024
ORL,Jalen Suggs,Jalen,Suggs,SG,6-5,205,"June 3, 2001",us,1,Gonzaga,1630591,True,2023
ORL,Jalen Suggs,Jalen,Suggs,SG,6-5,205,"June 3, 2001",us,2,Gonzaga,1630591,True,2024
CHI,Terry Taylor,Terry,Taylor,PF,6-5,230,"September 23, 1999",us,1,Austin Peay State University,1630678,True,2023
IND,Terry Taylor,Terry,Taylor,PF,6-5,230,"September 23, 1999",us,1,Austin Peay State University,1630678,True,2023
MIA,Max Strus,Max,Strus,SF,6-5,215,"March 28, 1996",us,3,"Lewis (IL), DePaul",1629622,True,2023
CLE,Max Strus,Max,Strus,SF,6-5,215,"March 28, 1996",us,4,"Lewis (IL), DePaul",1629622,True,2024
