Player,Pos,Ht,Wt,Birth Date,Country,Exp,College,Team
Saddiq Bey,SF,6-7,215,"April 9, 1999",us,2,Villanova,ATL
Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs,5,,ATL
Clint Capela,C,6-10,240,"May 18, 1994",ch,8,,ATL
John Collins,PF,6-9,235,"September 23, 1997",us,5,Wake Forest,ATL
Jarrett Culver,SF,6-6,195,"February 20, 1999",us,3,Texas Tech,ATL
Bruno Fernando,C,6-9,240,"August 15, 1998",ao,3,Maryland,ATL
Trent Forrest,SG,6-4,210,"June 12, 1998",us,2,Florida State,ATL
AJ Griffin,SF,6-6,222,"August 25, 2003",us,R,Duke,ATL
Aaron Holiday,PG,6-0,185,"September 30, 1996",us,4,UCLA,ATL
Justin Holiday,SF,6-6,180,"April 5, 1989",us,9,Washington,ATL
De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,3,Virginia,ATL
Jalen Johnson,SF,6-9,220,"December 18, 2001",us,1,Duke,ATL
Frank Kaminsky,C,7-0,240,"April 4, 1993",us,7,Wisconsin,ATL
Vit Krejci,PG,6-8,195,"June 19, 2000",cz,1,,ATL
Tyrese Martin,SG,6-6,215,"March 7, 1999",us,R,"Rhode Island, UConn",ATL
Garrison Mathews,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,ATL
Dejounte Murray,SG,6-5,180,"September 19, 1996",us,5,Washington,ATL
Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,2,USC,ATL
Donovan Williams,SG,6-6,190,"September 6, 2001",us,R,"Texas, UNLV",ATL
Trae Young,PG,6-1,164,"September 19, 1998",us,4,Oklahoma,ATL
Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us,6,Virginia,BOS
Jaylen Brown,SF,6-6,223,"October 24, 1996",us,6,California,BOS
Justin Champagnie,SF,6-6,200,"June 29, 2001",us,1,Pitt,BOS
JD Davison,SG,6-1,195,"October 3, 2002",us,R,Alabama,BOS
Blake Griffin,C,6-9,250,"March 16, 1989",us,12,Oklahoma,BOS
Sam Hauser,SF,6-8,215,"December 8, 1997",us,1,"Marquette, Virginia",BOS
Al Horford,C,6-9,240,"June 3, 1986",do,15,Florida,BOS
Justin Jackson,SF,6-8,220,"March 28, 1995",us,5,UNC,BOS
Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca,2,Florida State,BOS
Luke Kornet,C,7-2,250,"July 15, 1995",us,5,Vanderbilt,BOS
Mike Muscala,C,6-10,240,"July 1, 1991",us,9,Bucknell,BOS
Payton Pritchard,PG,6-1,195,"January 28, 1998",us,2,Oregon,BOS
Marcus Smart,PG,6-3,220,"March 6, 1994",us,8,Oklahoma State,BOS
Jayson Tatum,SF,6-8,210,"March 3, 1998",us,5,Duke,BOS
Noah Vonleh,C,6-10,257,"August 24, 1995",us,7,Indiana,BOS
Derrick White,SG,6-4,190,"July 2, 1994",us,5,"Colorado-Colorado Springs, Colorado",BOS
Grant Williams,PF,6-6,236,"November 30, 1998",us,3,Tennessee,BOS
Robert Williams,C,6-9,237,"October 17, 1997",us,4,Texas A&M,BOS
Mikal Bridges,SG,6-6,209,"August 30, 1996",us,4,Villanova,BRK
Moses Brown,C,7-2,245,"October 13, 1999",us,3,UCLA,BRK
Nic Claxton,C,6-11,215,"April 17, 1999",us,3,Georgia,BRK
Seth Curry,SG,6-1,185,"August 23, 1990",us,8,"Liberty, Duke",BRK
Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us,8,Colorado,BRK
David Duke Jr.,SG,6-5,205,"October 13, 1999",us,1,Providence,BRK
Kevin Durant,PF,6-11,240,"September 29, 1988",us,14,Texas,BRK
Kessler Edwards,SF,6-8,215,"August 9, 2000",us,1,Pepperdine,BRK
Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,6,Florida,BRK
RaiQuan Gray,PF,6-8,260,"July 7, 1999",us,R,Florida State,BRK
Joe Harris,SF,6-6,220,"September 6, 1991",us,8,Virginia,BRK
Kyrie Irving,PG,6-2,195,"March 23, 1992",au,11,Duke,BRK
Cameron Johnson,PF,6-8,210,"March 3, 1996",us,3,"Pitt, UNC",BRK
Patty Mills,PG,6-2,180,"August 11, 1988",au,13,Saint Mary's,BRK
Markieff Morris,PF,6-9,245,"September 2, 1989",us,11,Kansas,BRK
Nerlens Noel,C,6-10,220,"April 10, 1994",us,8,Kentucky,BRK
Royce O'Neale,SF,6-4,226,"June 5, 1993",us,5,"Denver, Baylor",BRK
Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us,1,UNC,BRK
Ben Simmons,PG,6-10,240,"July 20, 1996",au,4,LSU,BRK
Dru Smith,SG,6-3,203,"December 30, 1997",us,R,"University of Evansville, Missouri",BRK
Edmond Sumner,SG,6-4,196,"December 31, 1995",us,4,Xavier,BRK
Cam Thomas,SG,6-4,210,"October 13, 2001",jp,1,LSU,BRK
T.J. Warren,PF,6-8,220,"September 5, 1993",us,7,NC State,BRK
Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,4,George Washington,BRK
