No.,Player,Pos,Ht,Wt,Birth Date,Exp,College,Season
Saddiq Bey,SF,6-7,215,"April 9, 1999",us,2,Villanova,2023
Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs,5,,2023
Clint Capela,C,6-10,240,"May 18, 1994",ch,8,,2023
John Collins,PF,6-9,235,"September 23, 1997",us,5,Wake Forest,2023
Jarrett Culver,SF,6-6,195,"February 20, 1999",us,3,Texas Tech,2023
Bruno Fernando,C,6-9,240,"August 15, 1998",ao,3,Maryland,2023
Trent Forrest,SG,6-4,210,"June 12, 1998",us,2,Florida State,2023
AJ Griffin,SF,6-6,222,"August 25, 2003",us,R,Duke,2023
Aaron Holiday,PG,6-0,185,"September 30, 1996",us,4,UCLA,2023
Justin Holiday,SF,6-6,180,"April 5, 1989",us,9,Washington,2023
De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,3,Virginia,2023
Jalen Johnson,SF,6-9,220,"December 18, 2001",us,1,Duke,2023
Frank Kaminsky,C,7-0,240,"April 4, 1993",us,7,Wisconsin,2023
Vit Krejci,PG,6-8,195,"June 19, 2000",cz,1,,2023
Tyrese Martin,SG,6-6,215,"March 7, 1999",us,R,"Rhode Island, UConn",2023
Garrison Mathews,SG,6-5,215,"October 24, 1996",us,3,Lipscomb,2023
Dejounte Murray,SG,6-5,180,"September 19, 1996",us,5,Washington,2023
Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,2,USC,2023
Donovan Williams,SG,6-6,190,"September 6, 2001",us,R,"Texas, UNLV",2023
Trae Young,PG,6-1,164,"September 19, 1998",us,4,Oklahoma,2023
Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us,6,Virginia,2023
Jaylen Brown,SF,6-6,223,"October 24, 1996",us,6,California,2023
Justin Champagnie,SF,6-6,200,"June 29, 2001",us,1,Pitt,2023
JD Davison,SG,6-1,195,"October 3, 2002",us,R,Alabama,2023
Blake Griffin,C,6-9,250,"March 16, 1989",us,12,Oklahoma,2023
Sam Hauser,SF,6-8,215,"December 8, 1997",us,1,"Marquette, Virginia",2023
Al Horford,C,6-9,240,"June 3, 1986",do,15,Florida,2023
Justin Jackson,SF,6-8,220,"March 28, 1995",us,5,UNC,2023
Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca,2,Florida State,2023
Luke Kornet,C,7-2,250,"July 15, 1995",us,5,Vanderbilt,2023
Mike Muscala,C,6-10,240,"July 1, 1991",us,9,Bucknell,2023
Payton Pritchard,PG,6-1,195,"January 28, 1998",us,2,Oregon,2023
Marcus Smart,PG,6-3,220,"March 6, 1994",us,8,Oklahoma State,2023
Jayson Tatum,SF,6-8,210,"March 3, 1998",us,5,Duke,2023
Noah Vonleh,C,6-10,257,"August 24, 1995",us,7,Indiana,2023
Derrick White,SG,6-4,190,"July 2, 1994",us,5,"Colorado-Colorado Springs, Colorado",2023
Grant Williams,PF,6-6,236,"November 30, 1998",us,3,Tennessee,2023
Robert Williams,C,6-9,237,"October 17, 1997",us,4,Texas A&M,2023
Mikal Bridges,SG,6-6,209,"August 30, 1996",us,4,Villanova,2023
Moses Brown,C,7-2,245,"October 13, 1999",us,3,UCLA,2023
Nic Claxton,C,6-11,215,"April 17, 1999",us,3,Georgia,2023
Seth Curry,SG,6-1,185,"August 23, 1990",us,8,"Liberty, Duke",2023
Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us,8,Colorado,2023
David Duke Jr.,SG,6-5,205,"October 13, 1999",us,1,Providence,2023
Kevin Durant,PF,6-11,240,"September 29, 1988",us,14,Texas,2023
Kessler Edwards,SF,6-8,215,"August 9, 2000",us,1,Pepperdine,2023
Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,6,Florida,2023
RaiQuan Gray,PF,6-8,260,"July 7, 1999",us,R,Florida State,2023
Joe Harris,SF,6-6,220,"September 6, 1991",us,8,Virginia,2023
Kyrie Irving,PG,6-2,195,"March 23, 1992",au,11,Duke,2023
Cameron Johnson,PF,6-8,210,"March 3, 1996",us,3,"Pitt, UNC",2023
Patty Mills,PG,6-2,180,"August 11, 1988",au,13,Saint Mary's,2023
Markieff Morris,PF,6-9,245,"September 2, 1989",us,11,Kansas,2023
Nerlens Noel,C,6-10,220,"April 10, 1994",us,8,Kentucky,2023
Royce O'Neale,SF,6-4,226,"June 5, 1993",us,5,"Denver, Baylor",2023
Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us,1,UNC,2023
Ben Simmons,PG,6-10,240,"July 20, 1996",au,4,LSU,2023
Dru Smith,SG,6-3,203,"December 30, 1997",us,R,"University of Evansville, Missouri",2023
Edmond Sumner,SG,6-4,196,"December 31, 1995",us,4,Xavier,2023
Cam Thomas,SG,6-4,210,"October 13, 2001",jp,1,LSU,2023
T.J. Warren,PF,6-8,220,"September 5, 1993",us,7,NC State,2023
Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,4,George Washington,2023
Alondes Williams,SG,6-4,210,"June 19, 1999",us,R,"Triton College, Oklahoma, Wake Forest",2023
LaMelo Ball,PG,6-7,180,"August 22, 2001",us,2,,2023
James Bouknight,SG,6-5,190,"September 18, 2000",us,1,UConn,2023
Gordon Hayward,SF,6-7,225,"March 23, 1990",us,12,Butler,2023
Kai Jones,C,6-11,218,"January 19, 2001",bs,1,Texas,2023
Théo Maledon,PG,6-4,175,"June 12, 2001",fr,2,,2023
Cody Martin,SF,6-5,205,"September 28, 1995",us,3,"NC State, Nevada",2023
Jalen McDaniels,SF,6-9,205,"January 31, 1998",us,3,San Diego State,2023
Bryce McGowens,SG,6-7,179,"November 8, 2002",us,R,Nebraska,2023
Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,4,Kansas,2023
Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,7,Kansas,2023
Mason Plumlee,C,6-10,254,"March 5, 1990",us,9,Duke,2023
Nick Richards,C,7-0,245,"November 29, 1997",jm,2,Kentucky,2023
Terry Rozier,SG,6-1,190,"March 17, 1994",us,7,Louisville,2023
Kobi Simmons,SG,6-5,166,"July 4, 1997",us,2,Arizona,2023
Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us,5,NC State,2023
Xavier Sneed,SF,6-5,215,"December 21, 1997",us,1,Kansas State,2023
JT Thor,PF,6-10,205,"August 26, 2002",us,1,Auburn,2023
P.J. Washington,PF,6-7,230,"August 23, 1998",us,3,Kentucky,2023
Mark Williams,C,7-0,241,"December 16, 2001",us,R,Duke,2023
Patrick Beverley,PG,6-2,180,"July 12, 1988",us,10,Arkansas,2023
Tony Bradley,C,6-10,248,"January 8, 1998",us,5,UNC,2023
Alex Caruso,PG,6-5,186,"February 28, 1994",us,5,Texas A&M,2023
DeMar DeRozan,SF,6-6,220,"August 7, 1989",us,13,USC,2023
Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us,1,Illinois,2023
Goran Dragić,PG,6-4,190,"May 6, 1986",si,14,,2023
Andre Drummond,C,6-11,279,"August 10, 1993",us,10,UConn,2023
Javonte Green,SF,6-4,205,"July 23, 1993",us,3,Radford,2023
Malcolm Hill,SF,6-6,220,"October 26, 1995",us,1,Illinois,2023
Carlik Jones,PG,6-1,185,"December 23, 1997",us,1,"Radford, Louisville",2023
Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us,6,UNLV,2023
Zach LaVine,SG,6-5,200,"March 10, 1995",us,8,UCLA,2023
Marko Simonovic,C,6-11,216,"October 15, 1999",me,1,,2023
Terry Taylor,PF,6-5,230,"September 23, 1999",us,1,Austin Peay State University,2023
Dalen Terry,SG,6-7,195,"July 12, 2002",us,R,Arizona,2023
Nikola Vučević,C,6-10,260,"October 24, 1990",ch,11,USC,2023
Coby White,SG,6-5,195,"February 16, 2000",us,3,UNC,2023
Patrick Williams,PF,6-7,215,"August 26, 2001",us,2,Florida State,2023
Jarrett Allen,C,6-11,243,"April 21, 1998",us,5,Texas,2023
Mamadi Diakite,C,6-9,228,"January 21, 1997",gn,2,Virginia,2023
Darius Garland,PG,6-1,192,"January 26, 2000",us,3,Vanderbilt,2023
Danny Green,SG,6-6,215,"June 22, 1987",us,13,UNC,2023
Caris LeVert,SG,6-6,205,"August 25, 1994",us,6,Michigan,2023
Robin Lopez,C,7-1,281,"April 1, 1988",us,14,Stanford,2023
Kevin Love,PF,6-8,251,"September 7, 1988",us,14,UCLA,2023
Sam Merrill,SG,6-4,205,"May 15, 1996",us,2,Utah State University,2023
Donovan Mitchell,SG,6-3,215,"September 7, 1996",us,5,Louisville,2023
Evan Mobley,PF,6-11,215,"June 18, 2001",us,1,USC,2023
Isaiah Mobley,PF,6-8,240,"September 24, 1999",us,R,USC,2023
Raul Neto,PG,6-1,180,"May 19, 1992",br,7,,2023
Isaac Okoro,SF,6-5,225,"January 26, 2001",us,2,Auburn,2023
Cedi Osman,SF,6-7,230,"April 8, 1995",mk,5,,2023
Ricky Rubio,PG,6-2,190,"October 21, 1990",es,11,,2023
Lamar Stevens,SF,6-6,230,"July 9, 1997",us,2,Penn State,2023
Dean Wade,PF,6-9,228,"November 20, 1996",us,3,Kansas State,2023
Dylan Windler,SF,6-6,196,"September 22, 1996",us,2,Belmont,2023
Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,6,,2023
Reggie Bullock,SF,6-6,205,"March 16, 1991",us,9,UNC,2023
Facundo Campazzo,PG,5-10,195,"March 23, 1991",ar,2,,2023
Spencer Dinwiddie,SG,6-5,215,"April 6, 1993",us,8,Colorado,2023
Luka Dončić,PG,6-7,230,"February 28, 1999",si,4,,2023
Tyler Dorsey,SF,6-5,183,"February 18, 1996",us,2,Oregon,2023
Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,6,Florida,2023
Josh Green,SG,6-5,200,"November 16, 2000",au,2,Arizona,2023
Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,9,Michigan,2023
Jaden Hardy,SG,6-4,198,"July 5, 2002",us,R,,2023
Justin Holiday,SF,6-6,180,"April 5, 1989",us,9,Washington,2023
Kyrie Irving,SG,6-2,195,"March 23, 1992",au,11,Duke,2023
Maxi Kleber,PF,6-10,240,"January 29, 1992",de,5,,2023
A.J. Lawson,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,2023
JaVale McGee,C,7-0,270,"January 19, 1988",us,14,Nevada,2023
Markieff Morris,PF,6-9,245,"September 2, 1989",us,11,Kansas,2023
Frank Ntilikina,SG,6-4,200,"July 28, 1998",be,5,,2023
Theo Pinson,SG,6-5,212,"November 5, 1995",us,4,UNC,2023
Dwight Powell,C,6-10,240,"July 20, 1991",ca,8,Stanford,2023
Chris Silva,PF,6-8,234,"September 19, 1996",ga,3,South Carolina,2023
Kemba Walker,PG,6-0,184,"May 8, 1990",us,11,UConn,2023
Christian Wood,C,6-8,214,"September 27, 1995",us,6,UNLV,2023
McKinley Wright IV,PG,6-0,196,"October 25, 1998",us,1,Colorado,2023
Christian Braun,SG,6-6,218,"April 17, 2001",us,R,Kansas,2023
Bruce Brown,SF,6-4,202,"August 15, 1996",us,4,Miami (FL),2023
Thomas Bryant,C,6-10,248,"July 31, 1997",us,5,Indiana,2023
Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us,9,Georgia,2023
Vlatko Čančar,PF,6-8,236,"April 10, 1997",si,3,,2023
Aaron Gordon,PF,6-8,235,"September 16, 1995",us,8,Arizona,2023
Jeff Green,PF,6-8,235,"August 28, 1986",us,14,Georgetown,2023
Bones Hyland,PG,6-2,173,"September 14, 2000",us,1,VCU,2023
Reggie Jackson,PG,6-2,208,"April 16, 1990",it,11,Boston College,2023
Nikola Jokić,C,6-11,284,"February 19, 1995",rs,7,,2023
DeAndre Jordan,C,6-11,265,"July 21, 1988",us,14,Texas A&M,2023
Jamal Murray,PG,6-4,215,"February 23, 1997",ca,5,Kentucky,2023
Zeke Nnaji,PF,6-9,240,"January 9, 2001",us,2,Arizona,2023
Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us,3,Missouri,2023
Davon Reed,SG,6-5,208,"June 11, 1995",us,3,Miami (FL),2023
Ish Smith,PG,6-0,175,"July 5, 1988",us,12,Wake Forest,2023
Peyton Watson,SG,6-8,200,"September 11, 2002",us,R,UCLA,2023
Jack White,SF,6-7,225,"August 5, 1997",au,R,Duke,2023
Marvin Bagley III,C,6-10,235,"March 14, 1999",us,4,Duke,2023
Saddiq Bey,SF,6-7,215,"April 9, 1999",us,2,Villanova,2023
Buddy Boeheim,SF,6-6,205,"November 11, 1999",us,R,Syracuse,2023
